Candidate,Human Rank,Traditional ATS Score,Traditional ATS Rank,Modern AI ATS Score,Modern AI ATS Rank,MERIT (CV Only) Score,MERIT (CV Only) Rank,MERIT (Full) Score,MERIT (Full) Rank
012_Moinecha_Ramos-Horta_Mid-Level_Backend_Engineer.pdf,1,5.19,2,3.25,4,46.0,1,73.6,1
0103_Aaron_Mohammed_Mid-Level_Backend_Engineer.pdf,2,4.29,5,3.36,3,39.47,4,67.07,2
011_Yusuf_Nilsson_Junior_Backend_Engineer.pdf,3,4.89,3,1.64,6,31.07,7,58.67,6
0114_Einav_Segal_Junior_Site_Reliability_Engineer.pdf,4,3.38,7,1.46,8,25.6,8,41.67,8
0121_Arvid_Sandberg_Mid-Level_Quantitative_Developer.pdf,5,3.68,6,1.61,7,40.8,3,60.2,4
0128_Daniel_Miles_Senior_NLP_Engineer.pdf,6,4.88,4,3.42,1,43.47,2,61.53,3
0138_Aisling_Hunt_Junior_Data_Scientist.pdf,7,2.93,8,0.45,9,38.8,5,59.87,5
0112_Robert_Todd_Principal_QA_Engineer.pdf,8,8.77,1,3.4,2,16.27,10,29.33,10
0109_XiuYing_Loh_Mid-Level_Android_Developer.pdf,9,1.86,9,1.64,5,21.6,9,39.67,9
0108_Jude_Washington_Junior_iOS_Developer.pdf,10,1.56,10,0.0,10,34.67,6,49.07,7
