Candidate,Human Rank,Traditional ATS Score,Traditional ATS Rank,Modern AI ATS Score,Modern AI ATS Rank,MERIT (CV Only) Score,MERIT (CV Only) Rank,MERIT (Full) Score,MERIT (Full) Rank
012_Moinecha_Ramos-Horta_Mid-Level_Backend_Engineer.pdf,1,4.99,2,2.21,4,30.5,1,50.3,1
0103_Aaron_Mohammed_Mid-Level_Backend_Engineer.pdf,2,4.09,5,2.32,3,24.0,4,44.1,6
011_Yusuf_Nilsson_Junior_Backend_Engineer.pdf,3,4.69,3,1.2,5,15.6,7,30.7,10
0114_Einav_Segal_Junior_Site_Reliability_Engineer.pdf,4,2.98,7,0.45,8,10.1,8,32.5,8
0121_Arvid_Sandberg_Mid-Level_Quantitative_Developer.pdf,5,3.28,6,0.6,7,25.3,3,47.7,3
0128_Daniel_Miles_Senior_NLP_Engineer.pdf,6,4.48,4,3.0,2,28.0,2,46.7,4
0138_Aisling_Hunt_Junior_Data_Scientist.pdf,7,2.42,8,0.0,10,23.3,5,45.4,5
0112_Robert_Todd_Principal_QA_Engineer.pdf,8,9.28,1,3.4,1,0.8,10,31.1,9
0109_XiuYing_Loh_Mid-Level_Android_Developer.pdf,9,1.06,9,0.6,6,6.1,9,36.4,7
0108_Jude_Washington_Junior_iOS_Developer.pdf,10,0.76,10,0.0,9,19.2,6,49.5,2
