Rank,Candidate Name,Modern AI Score,Total Years,AI Match: aws,AI Match: docker,AI Match: hibernate,AI Match: java,AI Match: react,AI Match: spring boot,AI Match: sql,AI Match: typescript
1,Sam Old,6.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Carl Corp,4.78,10,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0
3,Paul Pivot,4.33,8,0.0,0.0,0.0,0.59,0.0,0.71,0.0,0.0
4,Ghost Gary,4.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Alex Rivers,3.53,5,0.0,0.0,0.0,0.67,0.55,0.66,0.0,0.0
6,Buzz Ward,3.2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,React Roy,2.06,4,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0
8,Stan Dard,1.54,3,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0
9,Kim Junior,0.59,0.5,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0
10,Jordan Smith,0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
